1	683.676
3	735.524
2	906.901
1	729.287
4	1,292.104
3	788.012
1	587.112
2	756.559
4	642.741
1	673.359
2	653.567
3	473.218
4	401.498
1	391.998
3	745.985
4	523.714
3	469.572
2	352.723
1	405.11
3	530.549
1	433.607
2	308.621
4	423.375
2	390.113
4	337.671
1	257.574
2	321.189
2	294.213
3	359.663
4	402.399
3	525.551
2	452.226
4	466.323
2	476.42
3	404.049
2	504.122
1	488.471
3	631.185
4	402.577
3	498.484
2	428.257
4	750.248
2	603.936
3	441.938
4	900.184
2	629.356
3	690.951
1	703.181
1	646.508
3	439.507
1	685.692
3	732.601
4	711.656
2	1,222.819
3	738.037
1	497.915
3	514.144
1	852.572
2	893.264
4	374.094
3	399.326
1	721.833
4	584.866
1	568.81
3	334.531
2	509.297
1	642.528
3	386.207
3	429.371
2	356.7
3	422.44
1	292.212
3	357.841
1	279.689
2	281.818
2	244.196
1	263.705
3	412.444
4	309.988
3	321.824
1	344.803
1	448.67
4	430.943
3	254.784
4	470.721
3	512.907
1	545.805
3	573.705
2	452.205
1	641.007
4	415.101
3	653.256
1	574.859
2	425.321
1	591.829
2	622.464
1	676.196
4	777.406
4	623.338
2	381.586
3	655.782
4	477.717
1	446.169
2	732.774
3	616.668
1	581.109
3	488.888
4	705.191
3	376.904
2	474.532
1	688.959
4	318.684
2	473.932
1	537.67
3	339.782
2	330.119
2	324.947
2	327.704
1	385.763
3	275.003
1	291.914
4	363.764
2	417.943
3	367.998
1	439.505
3	378.232
1	352.867
2	470.571
3	503.136
4	469.022
1	818.532
4	815.76
3	603.987
1	567.281
1	683.71
3	730.119
2	934.902
1	604.153
4	1,227.861
3	704.534
1	648.596
4	564.778
2	369.736
4	724.331
1	327.792
2	640.368
3	463.008
4	329.435
1	330.453
2	747.932
4	401.81
3	284.811
3	369.466
4	291.124
2	296.058
3	445.485
2	297.574
2	313.236
2	207.493
4	296.832
2	212.99
1	297.434
2	294.45
3	357.541
2	338.046
3	408.144
4	410.235
1	370.484
2	422.185
4	567.173
1	477.252
3	373.055
1	555.904
3	563.242
2	409.208
1	611.223
4	472.107
2	622.321
1	635.393
1	684.855
1	687.296
